"Year","State","prop_owners","nat_avg_prop_owners","universl","permit","child","adult_homicides","minor_homicides","adult_suicides","minor_suicides","adult_unintentionals","minor_unintentionals","adult_homicide_rate","minor_homicide_rate","adult_suicide_rate","minor_suicide_rate","adult_unintentional_rate","minor_unintentional_rate","total_adults","total_minors","total_pop","total_homicides","total_suicides","total_unintentionals","total_homicide_rate","total_suicide_rate","total_unintentional_rate"
1980,"California",0.366,0.50476,0,0,0,1748,358,1555,130,136,53,2.92234931673952,1.95695475755654,2.37293432633386,0.934585015855954,0.245628769645312,0.25657187062194,16382670,6943564,23326234,2106,1685,189,9.02846125954151,7.22362641136156,0.810246523292187
1981,"California",0.421,0.50164,0,0,0,1605,308,1730,119,100,48,2.55167195323811,1.5157258028401,2.54990533218516,0.877223762237271,0.1910866157603,0.195286452270893,16961414,7382859,24344273,1913,1849,148,7.85811102266229,7.59521551536988,0.607945860613706
1982,"California",0.414,0.51106,0,0,0,1448,217,1786,106,67,34,2.18334682067686,1.24328661039334,2.40151008460106,0.686784351268685,0.141849034772364,0.185868017307592,17419150,7451033,24870183,1665,1892,101,6.69476376591198,7.60750333039367,0.406108793007273
1983,"California",0.38,0.487,0,0,0,1288,204,1783,118,78,46,1.87767635393622,0.940303409176025,2.49494965099251,0.622581955000198,0.151653772725901,0.210756247479516,17866092,7096208,24962300,1492,1901,124,5.97701333611086,7.61548415009835,0.49674909763924
1984,"California",0.405,0.50634,0,0,0,1374,236,1839,92,96,51,1.90625720742809,0.920002901907458,2.43203021081417,0.612966084919655,0.156862596437409,0.278821216063973,18287572,7594279,25881851,1610,1931,147,6.22057518220007,7.46082650734679,0.567965560113919
1985,"California",0.354,0.49472,0,0,0,1347,207,1893,118,116,57,1.90942062919053,1.01868649972183,2.53237507083426,0.692148281624578,0.160853183032119,0.237723430309062,18752572,7264989,26017561,1554,2011,173,5.97288884995792,7.72939477301504,0.664935502601493
1986,"California",0.367,0.48124,0,0,0,1505,262,1993,134,83,47,2.21467776585661,1.24683781466831,2.59028945841349,0.999040101395115,0.172402000004445,0.204971456198341,19235302,7914390,27149692,1767,2127,130,6.50836112615937,7.83434301943462,0.478826794793841
1987,"California",0.376,0.50138,0,0,0,1448,306,1895,99,97,43,1.87165282908145,1.30419911625593,2.40428484921442,0.726757576943256,0.161317315200247,0.205783738614835,19704404,8130174,27834578,1754,1994,140,6.30151461250823,7.1637515036154,0.502971519812515
1988,"California",0.396,0.50614,0,0,0,1522,336,1970,125,93,55,1.8996412299131,1.23589970850423,2.4416925068795,0.78543677070625,0.144475180546594,0.200577897745242,20170435,8368093,28538528,1858,2095,148,6.51049696746798,7.34095325449161,0.518597175018978
1989,"California",0.417,0.52068,0,0,0,1627,431,1871,102,78,31,3.23965874346759,4.18097226909514,2.3039119711069,1.63078148007809,0.619213528958235,0.743444498270892,20684883,6138827,26823710,2058,1973,109,7.6723167675165,7.35543293601072,0.406356913342711
1990,"California",0.379,0.50864,0,0,0,1913,515,1944,120,39,31,3.36685468663972,5.05459502437443,2.32757266283149,1.43824809875587,0.362892003618871,0.743094851023865,21026230,4051439,25077669,2428,2064,70,9.68192059636803,8.23043002920247,0.279132801377991
1991,"California",0.368,0.50644,1,0,0,2156,654,1802,134,15,30,3.45224674091335,5.3305938102188,2.12212552092176,1.31894813689225,0.605662214914795,0.74530272954703,21382419,4121796,25504215,2810,1936,45,11.0177866678116,7.59090213127516,0.176441423505879
1992,"California",0.402,0.49044,1,0,1,2356,613,1852,89,49,29,3.66059736722877,7.48324266361445,2.14692228489102,2.21891905233707,0.298587352765967,0.72301856761545,21724821,4180674,25905495,2969,1941,78,11.4608888963519,7.4926188439943,0.301094420315072
1993,"California",0.386,0.49478,1,1,1,2425,657,1906,122,40,28,3.97088855631674,7.93989751368817,2.27517099802047,1.51800503280882,0.383404820759684,0.696789195387654,21852587,4256234,26108821,3082,2028,68,11.8044395800178,7.76748976907077,0.260448374899809
1994,"California",0.31,0.47946,1,1,1,2191,664,1858,97,31,39,3.80327477059752,7.88620678679355,2.13788777838135,1.58374535203394,0.39194053933294,0.955145392721498,21898799,4336616,26235415,2855,1955,70,10.8822368542674,7.45175938707278,0.266814914115138
1995,"California",0.337,0.47674,1,1,1,1983,626,1764,111,26,27,3.32481534532223,4.80332310159013,2.049714167127,1.28949589423346,0.33567670099004,0.645410201210216,21972678,4424629,26397307,2609,1875,53,9.88358395801511,7.10299728680657,0.200778056640399
1996,"California",0.291,0.4543,1,1,1,1595,481,1587,95,49,36,2.86507093053408,5.41105269949094,1.85657646177378,1.09543574589027,0.38406391826869,0.830224986358942,22116762,4553039,26669801,2076,1682,85,7.78408507810013,6.30675871934702,0.318712539324909
1997,"California",0.3,0.43372,1,1,1,1469,429,1589,99,0,11,2.52416414641162,3.06775907493549,1.89598814278368,1.10125347117319,0,0.489445987188084,22500403,9489271,31989674,1898,1688,11,5.93316455803832,5.2767027260109,0.0343860959633412
1998,"California",0.241,0.43036,1,1,1,1143,345,1569,70,11,0,2.23183902500775,3.6565516555753,1.83408545059055,1.49979452814964,0.496927856465551,0,22918966,4767813,27686779,1488,1639,11,5.37440631862594,5.91979298133597,0.0397301542371541
1999,"California",0.271,0.41604,1,1,1,1033,295,1464,61,0,0,2.05441862588032,3.03896853905245,2.09108545417819,0.846123319560942,0,0,23337162,4901007,28238169,1328,1525,0,4.70285449456726,5.40049179534268,0
2000,"California",0.274,0.42748,1,1,1,1147,293,1415,50,0,0,1.93107324471587,3.92094308182379,2.00753795743526,1.02007133154807,0,0,23636662,5021883,28658545,1440,1465,0,5.02467937573244,5.11191339267224,0
2001,"California",0.229,0.38746,1,1,1,1238,291,1402,42,0,0,2.31624570771887,3.80988341363983,1.93388022141797,0.563475290199837,0,0,24165578,5153448,29319026,1529,1444,0,5.21504363753421,4.92512950464316,0
2002,"California",0.228,0.39966,1,1,1,1434,313,1436,49,0,0,2.75593275062844,3.04274266018533,1.95239155729331,0.649208780111529,0,0,24516940,5255006,29771946,1747,1485,0,5.86794024146087,4.98791714858008,0
2003,"California",0.198,0.38286,1,1,1,1402,333,1443,52,0,0,2.57864731776261,4.21472518662816,1.94800966061595,0.677215866594726,0,0,24845538,5341372,30186910,1735,1495,0,5.7475243408484,4.95247774614891,0
2004,"California",0.203,0.39394,1,1,1,1380,384,1317,46,0,0,2.19791452632131,3.60576652211048,1.74685688120947,0.585942625007675,0,0,25130851,5415876,30546727,1764,1363,0,5.77475943658383,4.4620165034375,0
2005,"California",0.209,0.38722,1,1,1,1450,379,1267,52,0,0,2.42037314542246,3.50053870427421,1.67446561914371,0.645816722182066,0,0,25386390,5459025,30845415,1829,1319,0,5.92956846260619,4.2761622756575,0
2006,"California",0.202,0.37966,1,1,1,1427,417,1265,48,0,0,2.31359058558323,3.80258406104488,1.64746503838255,0.583122467745127,0,0,25594878,5478529,31073407,1844,1313,0,5.93433478343717,4.22547807519143,0
2007,"California",0.185,0.38172,1,1,1,1298,359,1372,37,0,0,2.34406949064435,3.24528105399497,1.78282832771794,0.441485141698236,0,0,25831258,5475014,31306272,1657,1409,0,5.29286910942319,4.50069557946727,0
2008,"California",0.175,0.385,1,1,1,1184,329,1417,49,0,0,1.98917813174172,2.96112901639124,1.81885628981556,0.578533570886302,0,0,26155669,5464167,31619836,1513,1466,0,4.78497105424582,4.63633018210468,0
2009,"California",0.196,0.38506,1,1,1,1084,317,1458,51,0,0,2.12518283630195,2.40972024896287,1.84683989543542,0.599807849791179,0,0,26510169,7486572,33996741,1401,1509,0,4.12098324365856,4.43866075280569,0
2010,"California",0.174,0.3786,1,1,1,1011,272,1437,45,0,0,1.73183647845801,3.21064422992934,1.80064415695231,0.531172758628016,0,0,26801914,2823940,29625854,1283,1482,0,4.33067684732396,5.00238744172573,0
2011,"California",0.16,0.3854,1,1,1,1021,234,1507,42,0,0,1.73680976760039,2.90357236186254,1.8530748703361,0.509494984931686,0,0,27317637,5311219,32628856,1255,1549,0,3.8462886961161,4.74733162572417,0
2012,"California",0.214,0.4071,1,1,1,1087,228,1501,18,0,0,1.87294457471106,2.87112104306316,1.81943831163495,0.666356440723708,0,0,27715670,5239892,32955562,1315,1519,0,3.99022174162892,4.60923712968391,0
2013,"California",0.155,0.39012,1,1,1,1064,176,1526,27,0,0,1.77220922102444,3.31056193403028,1.8107602899509,0.507870296697827,0,0,28091331,2658159,30749490,1240,1553,0,4.03258720713742,5.05049026829388,0
2014,"California",0.183,0.37782,1,1,1,1012,157,1544,26,0,0,1.82201469418843,2.99751378188104,1.80703742767754,0.496403556235077,0,0,28481240,2618837,31100077,1169,1570,0,3.75883313729416,5.0482190124481,0
2015,"California",0.151,0.36512,1,1,1,1165,189,1495,53,0,0,1.97568087771378,2.44966934000335,1.74276198888521,0.680104243298695,0,0,28830539,5117686,33948225,1354,1548,0,3.98842649357956,4.55988494243808,0
2016,"California",0.163,0.39696,1,1,1,1249,161,1539,47,0,0,2.02383343380934,3.12017196992542,1.76164206743566,0.607238437211158,0,0,29120558,2579986,31700544,1410,1586,0,4.44787319738109,5.00306871705419,0
1980,"North Carolina",0.579,0.50476,0,0,0,442,29,447,36,32,22,3.02138759617856,0.884227215903894,2.71205938135923,0.978944002227642,0.422895845378707,0.579256203438991,3981452,1904004,5885456,471,483,54,8.00277837435196,8.20667081701061,0.917515991963919
1981,"North Carolina",0.547,0.50164,0,0,0,398,31,515,37,33,11,2.55117984055126,1.10245937348301,3.15493551373071,1.17582453901322,0.366222601416749,0.371696714403788,4092948,1865448,5958396,429,552,44,7.19992427492231,9.26423822787206,0.738453771786904
1982,"North Carolina",0.571,0.51106,0,0,0,371,38,535,46,31,15,2.36461556131193,0.913791469900911,3.21241310047281,1.77345910499688,0.354088153329765,0.330854497911757,4176109,1760181,5936290,409,581,46,6.88982512646788,9.78725769798982,0.774894757500055
1983,"North Carolina",0.552,0.487,0,0,0,346,12,512,26,18,13,2.35846966674006,0.775753062285213,3.03003510461374,1.02229105648669,0.282249029259346,0.313349810712611,4250763,1742922,5993685,358,538,31,5.97295319990957,8.97611402667975,0.517211031277086
1984,"North Carolina",0.585,0.50634,0,0,0,294,22,557,40,24,16,1.89009058934182,0.59961466581158,3.25827370458467,1.1609160207862,0.299648549707262,0.469520490461104,4352001,1728473,6080474,316,597,40,5.1969632630614,9.81831350647992,0.65784345102043
1985,"North Carolina",0.554,0.49472,0,0,0,348,28,520,45,24,17,2.16108477513292,1.03977858657698,2.94390357764676,1.16232096382754,0.199268088311631,0.464382922509241,4444592,1724990,6169582,376,565,41,6.09441612089766,9.15783273485951,0.664550694034053
1986,"North Carolina",0.522,0.48124,0,0,0,356,27,499,37,26,13,2.26557517703465,0.922396084394459,2.77449561309987,1.4796164834075,0.348858708734376,0.40563318403952,4511181,1382129,5893310,383,536,39,6.49889450919772,9.09505863428192,0.661767326001856
1987,"North Carolina",0.573,0.50138,0,0,0,338,35,521,34,20,16,2.23563337676283,0.765118969441586,2.88399524899147,1.35978297863661,0.284109190548767,0.595541626498625,4589042,1821256,6410298,373,555,36,5.81876224787054,8.65794382726045,0.56159635636284
1988,"North Carolina",0.561,0.50614,0,0,0,354,22,545,28,34,22,2.18143661527802,0.795001033501344,3.04622265595961,0.957898316356866,0.366460065822695,0.633158389751583,4654468,1737322,6391790,376,573,56,5.88254620380206,8.96462493292176,0.876123902693925
1989,"North Carolina",0.563,0.52068,0,0,0,367,35,543,25,10,0,4.45450896442619,6.89360411410293,5.50030879726277,4.92400293864495,1.80320212633595,0,4662081,507717,5169798,402,568,10,7.77593244455586,10.9868896231536,0.19343115533721
1990,"North Carolina",0.541,0.50864,0,0,0,360,44,549,20,0,0,5.90186671125855,8.76785703610564,5.44344979473534,3.9853895618662,0,0,4783148,501833,5284981,404,569,0,7.64430373543443,10.7663584788668,0
1991,"North Carolina",0.565,0.50644,0,0,0,479,58,506,27,0,0,6.47366058070492,12.2616898299853,4.83852984426245,5.70802802430351,0,0,4937389,473018,5410407,537,533,0,9.92531615458874,9.85138456312067,0
1992,"North Carolina",0.529,0.49044,0,0,0,397,61,493,33,10,0,6.19469150826383,6.56152451105886,7.28204205593465,7.0993543890145,1.71074105881186,0,5028162,464831,5492993,458,526,10,8.33789520576487,9.57583597867319,0.182050113662988
1993,"North Carolina",0.573,0.49478,0,0,1,473,72,472,28,33,11,6.65037582356398,15.3277259402602,5.89400506010324,5.96078231010118,1.15706814359987,2.34173590753975,5136912,469737,5606649,545,500,44,9.72060137882717,8.91798291635521,0.784782496639258
1994,"North Carolina",0.54,0.47946,0,0,1,443,56,523,44,0,0,6.1266721977286,11.7031659153652,5.6204999730259,9.19534464778695,0,0,5240419,478503,5718922,499,567,0,8.72542062997187,9.9144559062005,0
1995,"North Carolina",0.461,0.47674,0,1,1,367,57,473,38,0,13,6.50053864136263,11.6349563076772,7.21064614554377,7.75663753845149,0,2.65358652631235,5359036,489903,5848939,424,511,13,7.24917801331147,8.7366272754768,0.222262533427003
1996,"North Carolina",0.516,0.4543,0,1,1,325,53,539,38,0,0,5.64162946229022,10.5254796044008,5.64628782764052,7.5465702824006,0,0,5377737,503540,5881277,378,577,0,6.42717559468802,9.81079449242061,0
1997,"North Carolina",0.474,0.43372,0,1,1,353,35,499,26,0,0,6.82651542357368,6.78710217885372,6.28080773956624,5.04184733286276,0,0,5484535,515684,6000219,388,525,0,6.46643064194824,8.74968063665676,0
1998,"North Carolina",0.464,0.43036,0,1,1,367,36,464,18,0,0,6.15438277577756,6.83372595619961,5.42408450162541,3.41686297809981,0,0,5591787,526799,6118586,403,482,0,6.58648910058631,7.87763708804616,0
1999,"North Carolina",0.417,0.41604,0,1,1,379,46,493,25,0,0,5.70755110517164,8.61902593764697,5.56812430673746,4.68425322698205,0,0,5790779,533703,6324482,425,518,0,6.71991793161875,8.19039409077297,0
