"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Injury Intent"	"Injury Intent Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"10-14 years"	"10-14"	3	1796019	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"15-19 years"	"15-19"	15	2130465	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"20-24 years"	"20-24"	11	2355965	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"25-34 years"	"25-34"	26	4243015	0.6
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"35-44 years"	"35-44"	6	2814938	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"45-54 years"	"45-54"	2	2359934	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"55-64 years"	"55-64"	5	2194568	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"5-9 years"	"5-9"	2	1650348	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"10-14 years"	"10-14"	1	1796019	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"15-19 years"	"15-19"	4	2130465	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"20-24 years"	"20-24"	4	2355965	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"25-34 years"	"25-34"	2	4243015	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"35-44 years"	"35-44"	1	2814938	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"45-54 years"	"45-54"	1	2359934	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"55-64 years"	"55-64"	2	2194568	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"5-9 years"	"5-9"	2	1650348	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"10-14 years"	"10-14"	1	1796019	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"15-19 years"	"15-19"	2	2130465	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"20-24 years"	"20-24"	2	2355965	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"25-34 years"	"25-34"	3	4243015	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"35-44 years"	"35-44"	1	2814938	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"45-54 years"	"45-54"	1	2359934	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"5-9 years"	"5-9"	2	1650348	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"10-14 years"	"10-14"	6	1796019	0.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"15-19 years"	"15-19"	15	2130465	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"20-24 years"	"20-24"	13	2355965	0.6 (Unreliable)
