"Year","State","prop_owners","nat_avg_prop_owners","universl","permit","child","adult_homicides","minor_homicides","adult_suicides","minor_suicides","adult_unintentionals","minor_unintentionals","adult_homicide_rate","minor_homicide_rate","adult_suicide_rate","minor_suicide_rate","adult_unintentional_rate","minor_unintentional_rate","total_adults","total_minors","total_pop","total_homicides","total_suicides","total_unintentionals","total_homicide_rate","total_suicide_rate","total_unintentional_rate","pct_change_employment"
1999,"California",0.271,0.41604,1,1,1,1033,295,1464,61,0,0,2.05441862588032,3.03896853905245,2.09108545417819,0.846123319560942,0,0,23337162,4901007,28238169,1328,1525,0,4.70285449456726,5.40049179534268,0,2.3
2000,"California",0.274,0.42748,1,1,1,1147,293,1415,50,0,0,1.93107324471587,3.92094308182379,2.00753795743526,1.02007133154807,0,0,23636662,5021883,28658545,1440,1465,0,5.02467937573244,5.11191339267224,0,2
2001,"California",0.229,0.38746,1,1,1,1238,291,1402,42,0,0,2.31624570771887,3.80988341363983,1.93388022141797,0.563475290199837,0,0,24165578,5153448,29319026,1529,1444,0,5.21504363753421,4.92512950464316,0,0.6
2002,"California",0.228,0.39966,1,1,1,1434,313,1436,49,0,0,2.75593275062844,3.04274266018533,1.95239155729331,0.649208780111529,0,0,24516940,5255006,29771946,1747,1485,0,5.86794024146087,4.98791714858008,0,0.1
2003,"California",0.198,0.38286,1,1,1,1402,333,1443,52,0,0,2.57864731776261,4.21472518662816,1.94800966061595,0.677215866594726,0,0,24845538,5341372,30186910,1735,1495,0,5.7475243408484,4.95247774614891,0,0.6
2004,"California",0.203,0.39394,1,1,1,1380,384,1317,46,0,0,2.19791452632131,3.60576652211048,1.74685688120947,0.585942625007675,0,0,25130851,5415876,30546727,1764,1363,0,5.77475943658383,4.4620165034375,0,1.6
2005,"California",0.209,0.38722,1,1,1,1450,379,1267,52,0,0,2.42037314542246,3.50053870427421,1.67446561914371,0.645816722182066,0,0,25386390,5459025,30845415,1829,1319,0,5.92956846260619,4.2761622756575,0,1.7
2006,"California",0.202,0.37966,1,1,1,1427,417,1265,48,0,0,2.31359058558323,3.80258406104488,1.64746503838255,0.583122467745127,0,0,25594878,5478529,31073407,1844,1313,0,5.93433478343717,4.22547807519143,0,1.9
2007,"California",0.185,0.38172,1,1,1,1298,359,1372,37,0,0,2.34406949064435,3.24528105399497,1.78282832771794,0.441485141698236,0,0,25831258,5475014,31306272,1657,1409,0,5.29286910942319,4.50069557946727,0,1.9
2008,"California",0.175,0.385,1,1,1,1184,329,1417,49,0,0,1.98917813174172,2.96112901639124,1.81885628981556,0.578533570886302,0,0,26155669,5464167,31619836,1513,1466,0,4.78497105424582,4.63633018210468,0,-1.1
2009,"California",0.196,0.38506,1,1,1,1084,317,1458,51,0,0,2.12518283630195,2.40972024896287,1.84683989543542,0.599807849791179,0,0,26510169,7486572,33996741,1401,1509,0,4.12098324365856,4.43866075280569,0,-4
2010,"California",0.174,0.3786,1,1,1,1011,272,1437,45,0,0,1.73183647845801,3.21064422992934,1.80064415695231,0.531172758628016,0,0,26801914,2823940,29625854,1283,1482,0,4.33067684732396,5.00238744172573,0,-1
